course_of_action	vulnerability
#249:34	#232:3258
#256:85	#235:793
#254:38	#215:1996
#256:80	#211:1000
#257:34	#228:825
#3659:52	#213:3779
#256:80	#237:2972
#258:98	#220:945
#256:80	#229:1531
#3662:70	#235:996
#3661:97	#209:507
#254:53	#226:3518
#252:24	#212:1408
#3660:123	#223:25
#251:72	#234:2590
#3662:0	#216:3608
#256:80	#236:1264
#254:41	#236:1964
#249:35	#211:3778
#252:56	#248:1859
#252:56	#220:3282
#257:25	#221:2819
#252:24	#235:1801
#3661:172	#221:2687
#254:41	#247:2781
#3660:147	#221:3701
#3661:220	#237:598
#257:25	#236:3100
#252:43	#222:1087
#256:80	#228:2181
#256:65	#232:1041
#254:70	#218:1232
#254:41	#211:1448
#254:41	#221:112
#254:45	#220:739
#254:55	#224:844
#3659:64	#225:855
#254:41	#247:2014
#256:80	#218:2492
#256:85	#230:1764
#254:78	#222:1713
#251:75	#210:3046
#256:85	#241:623
#256:80	#237:3027
#249:78	#215:1387
#254:53	#230:1315
#254:41	#240:2415
#249:42	#248:2775
#256:80	#209:716
#256:80	#242:2418
#258:98	#229:1887
#252:24	#230:932
#249:34	#222:1591
#254:45	#232:2841
#256:80	#238:2157
#254:41	#232:591
#256:85	#210:630
#3661:141	#219:1214
#249:42	#231:3756
#252:43	#211:799
#252:43	#247:3008
#256:80	#209:1989
#3662:61	#247:2446
#3661:185	#235:3402
#255:94	#238:1596
#252:25	#235:1930
#252:25	#227:949
#254:41	#209:614
#3658:111	#213:2912
#256:80	#222:206
#249:56	#239:2289
#254:41	#215:486
#256:80	#231:2170
#254:22	#235:3164
#256:80	#237:3150
#3660:25	#231:756
#257:30	#221:1461
#256:85	#211:2804
#249:22	#234:539
#3661:146	#218:2532
#3659:121	#215:360
#254:70	#243:74
#256:80	#246:746
#3662:83	#210:3279
#3661:120	#247:1246
#249:42	#227:317
#3659:40	#210:708
#256:85	#211:3452
#3659:1	#216:1658
#3662:82	#220:2108
#256:80	#209:3686
#256:80	#209:6
#249:28	#212:1020
#3658:36	#227:257
#254:41	#231:1702
#3661:168	#244:3425
#254:41	#233:1527
#252:46	#241:14
#256:80	#239:187
#257:10	#223:1255
#252:29	#233:147
#256:80	#217:1889
#251:87	#236:58
#3662:64	#236:333
#3659:82	#232:273
#3658:122	#230:2027
#256:65	#247:2446
#254:48	#229:2329
