indicator	malware
#3281:249	#4359:1
#3263:921	#4386:0
#3267:835	#4287:0
#3278:4	#4274:1
#3290:4	#4265:0
#3261:423	#4462:0
#3275:1086	#4345:0
#3287:1584	#4350:0
#3266:1169	#4356:0
#3295:3240	#4295:1
#3287:339	#4350:0
#3265:837	#4367:0
#3285:1746	#4269:0
#3264:423	#4287:0
#3283:1919	#4314:0
#3291:2827	#4270:0
#3287:1668	#4258:0
#3276:2164	#4538:0
#3275:586	#4283:0
#3296:1501	#4276:0
#3282:2745	#4263:0
#3280:3164	#4282:0
#3288:338	#4265:0
#3283:837	#4316:0
#3272:1752	#4566:0
#3266:2579	#4265:0
#3282:1503	#4367:0
#3298:3159	#4374:0
#3273:2081	#4269:1
#3259:838	#4265:0
#3282:584	#4319:0
#3291:1584	#4483:0
#3280:834	#4287:0
#3295:1001	#4259:2
#3275:1252	#4565:0
#3262:2079	#4279:1
#3261:1665	#4264:0
#3260:2582	#4313:0
#3290:2082	#4263:0
#3265:1003	#4370:0
#3266:3248	#4258:0
#3285:421	#4265:0
#3267:336	#4350:0
#3294:1251	#4269:0
#3297:2580	#4370:0
#3297:2742	#4358:1
#3262:2909	#4367:0
#3268:1420	#4367:0
#3295:3078	#4370:0
#3271:2916	#4346:1
#3288:2081	#4419:0
#3282:2497	#4301:0
#3265:3246	#4279:1
#3274:2576	#4347:0
#3268:583	#4579:0
#3279:2497	#4284:1
#3297:1583	#4287:0
#3289:584	#4341:1
#3275:1413	#4271:0
#3290:1583	#4479:0
#3296:415	#4279:1
#3295:87	#4259:0
#3292:1829	#4368:0
#3288:334	#4474:0
#3289:419	#4265:0
#3277:1829	#4307:0
#3262:2661	#4284:1
#3278:417	#4274:0
#3287:917	#4560:0
#3298:503	#4272:1
#3269:2665	#4304:0
#3281:2748	#4283:1
#3280:751	#4367:0
#3260:3079	#4489:0
#3273:2827	#4287:0
#3296:1170	#4272:1
#3282:914	#4486:0
#3297:3157	#4265:0
#3261:586	#4283:1
#3282:2164	#4265:0
#3271:2416	#4281:0
#3271:1165	#4386:0
#3297:2583	#4265:0
#3289:250	#4265:0
#3291:1337	#4264:0
#3279:752	#4543:0
#3286:1498	#4358:1
#3289:3163	#4486:0
#3270:1004	#4294:1
#3259:2414	#4289:0
#3283:2251	#4280:1
#3298:914	#4463:1
#3282:834	#4269:0
#3287:2499	#4279:1
#3265:1586	#4259:2
#3275:2998	#4300:0
#3275:2749	#4356:0
#3275:1252	#4377:0
#3292:752	#4358:1
#3263:2248	#4273:0
#3298:3	#4287:0
#3281:2912	#4341:0
#3277:919	#4269:1
#3278:748	#4344:1
#3266:1170	#4564:0
#3264:256	#4348:1
#3265:2002	#4265:0
#3270:2579	#4486:0
#3264:2743	#4287:0
#3292:1832	#4283:1
#3260:3160	#4364:0
#3266:2584	#4265:0
#3289:253	#4458:0
#3286:2996	#4284:1
#3266:2246	#4259:2
#3269:585	#4265:0
#3279:168	#4287:0
#3296:921	#4265:1
#3276:7	#4287:1
#3267:1166	#4338:0
