course_of_action	attack_pattern
#3658:76	#3191:2
#254:72	#169:12
#280:92	#204:7
#272:41	#197:6
#256:80	#197:6
#3658:17	#3204:1
#3659:210	#3204:1
#3658:98	#3191:2
#256:80	#170:13
#272:15	#178:10
#3661:199	#3181:7
#279:4	#172:1
#3661:62	#3181:7
#3663:173	#3183:3
#279:59	#178:5
#272:25	#171:11
#276:98	#172:1
#256:85	#185:11
#249:35	#173:7
#266:47	#207:6
#286:79	#175:12
#249:35	#197:3
#254:41	#203:11
#3659:144	#3205:12
#272:13	#185:14
#266:47	#180:1
#274:37	#189:0
#267:24	#178:12
#3662:82	#3208:4
#3661:162	#3191:2
#3671:116	#3181:7
#3660:194	#3191:2
#3661:108	#3191:2
#276:98	#207:2
#266:47	#199:9
#3659:142	#3194:6
#3659:53	#3193:2
#3660:179	#3191:2
#3672:82	#3217:10
#264:22	#203:3
#272:13	#178:11
#249:42	#171:6
#287:9	#184:10
#256:80	#182:14
#274:78	#200:15
#274:64	#182:2
#3661:135	#3191:2
#3659:219	#3205:12
#253:98	#177:8
#272:13	#204:10
#274:78	#190:4
#284:88	#170:11
#3658:133	#3191:2
#281:79	#198:13
#262:20	#185:6
#279:27	#204:2
#254:40	#177:4
#3660:36	#3194:6
#3662:40	#3191:2
#274:78	#203:6
#274:24	#201:1
#279:57	#201:12
#285:3	#188:9
#3660:26	#3191:2
#264:12	#205:3
#287:9	#187:12
#3658:54	#3191:2
#286:71	#181:3
#276:98	#205:9
#286:71	#204:8
#3660:169	#3191:2
#3661:87	#3200:9
#281:77	#204:3
#3658:177	#3191:2
#3658:186	#3191:2
#262:20	#208:1
#3659:44	#3195:1
#256:91	#178:11
#3690:22	#3206:8
#262:25	#169:0
#3658:41	#3191:2
#257:34	#205:6
#256:80	#195:6
#3660:165	#3191:2
#254:47	#169:10
#286:71	#200:4
#286:71	#189:0
#254:22	#204:6
#256:80	#189:0
#249:72	#177:8
#264:49	#201:12
#261:89	#185:4
#3659:117	#3191:2
#275:3	#186:9
#3661:95	#3181:7
#262:20	#189:10
#278:99	#208:6
#3661:22	#3191:2
#3659:18	#3206:8
#264:38	#183:4
#3658:143	#3191:2
#272:35	#195:5
#3693:179	#3200:12
#3660:124	#3194:6
#274:78	#197:1
#272:26	#197:13
#3661:145	#3205:12
#3659:148	#3194:6
#272:26	#178:10
#254:5	#183:11
#3662:96	#3208:4
#281:98	#177:8
#3658:123	#3205:12
#3686:5	#3187:0
#257:46	#203:0
#3661:131	#3194:6
#3661:69	#3193:2
#3658:83	#3195:1
#3688:39	#3194:7
#286:71	#179:7
#269:46	#195:5
#275:92	#182:11
#269:46	#182:12
#3658:18	#3191:2
#3659:192	#3193:2
#276:64	#171:5
#276:77	#203:10
#3659:217	#3204:1
#3663:134	#3217:10
#287:9	#199:12
#274:78	#171:10
#259:39	#180:1
#249:35	#199:13
#3660:100	#3191:2
#3658:178	#3191:2
#3660:5	#3208:4
#279:59	#177:14
#3661:100	#3193:2
#249:63	#198:12
#281:81	#194:5
#280:93	#175:7
#272:11	#186:9
#279:35	#202:11
#284:48	#171:0
#276:64	#199:12
#280:93	#181:3
#264:69	#204:3
#3660:39	#3191:2
#254:41	#175:0
#269:20	#198:13
#3659:46	#3193:2
#3658:132	#3205:12
#254:41	#177:11
#3662:22	#3181:7
#3662:52	#3191:2
#284:95	#178:6
#3675:0	#3200:9
#286:71	#197:2
#3659:30	#3191:2
#272:22	#195:8
#264:22	#191:9
#272:13	#183:14
#3661:7	#3205:12
#279:35	#172:11
#3658:10	#3191:2
#274:57	#201:7
#271:72	#178:5
#256:80	#195:5
#279:32	#192:7
#276:82	#184:0
#3662:9	#3194:6
#3658:62	#3191:2
#3660:207	#3194:7
#272:13	#177:7
#277:11	#188:2
#277:33	#182:5
#285:3	#169:6
#287:9	#171:5
#269:56	#174:7
#272:11	#174:1
#3658:27	#3193:2
#3658:219	#3191:2
#249:57	#197:9
#3661:60	#3194:6
#3665:185	#3208:4
#256:82	#170:5
#272:26	#187:2
#282:26	#171:5
#280:93	#197:9
#254:41	#201:9
#276:64	#203:14
#254:41	#177:15
#3660:154	#3194:6
#3658:161	#3205:12
#3690:168	#3216:2
#3658:119	#3204:1
#3660:128	#3206:8
#282:8	#178:11
#275:93	#206:0
#281:88	#197:6
#3658:196	#3194:6
#279:58	#202:2
#3662:94	#3206:8
#3662:48	#3194:6
#279:35	#198:0
#3660:109	#3204:1
#3680:46	#3217:10
#3658:122	#3200:9
#281:74	#205:3
#252:1	#172:11
#3659:110	#3191:2
#3694:153	#3208:12
#254:40	#178:11
#254:81	#203:10
#266:79	#180:8
#249:10	#184:6
#3658:80	#3191:2
#3661:106	#3204:1
#278:99	#193:9
#254:12	#205:11
#3661:215	#3191:2
#254:48	#199:7
#281:88	#175:10
#3659:78	#3194:6
#254:41	#169:1
#256:80	#205:11
#261:89	#179:4
#274:24	#203:10
#3658:15	#3191:2
#3660:66	#3208:4
#3659:62	#3191:2
#3659:64	#3193:2
#3658:90	#3191:2
#256:80	#182:12
#3658:28	#3191:2
#3659:91	#3208:4
#256:80	#204:10
#3661:77	#3194:6
#3658:20	#3193:2
#274:78	#169:15
#3661:9	#3205:12
#3661:76	#3191:2
#274:78	#184:1
#254:41	#187:11
#3658:162	#3205:12
#284:83	#208:1
#3660:122	#3181:7
#284:81	#183:0
#276:98	#183:4
#3676:44	#3200:9
#274:78	#195:2
#266:47	#179:14
#282:8	#183:3
#272:45	#198:13
#284:21	#204:2
#3662:78	#3191:2
#3662:58	#3208:12
#3658:167	#3204:1
#3660:14	#3205:12
#269:46	#183:3
#3661:18	#3191:2
#3659:41	#3194:6
#3661:0	#3191:2
#3661:65	#3191:2
#272:19	#204:14
#3660:201	#3204:1
#267:11	#197:0
#3658:95	#3191:2
#3659:77	#3194:6
#3688:12	#3189:12
#273:99	#180:7
#275:3	#170:2
#3667:81	#3200:9
#279:35	#203:0
#3658:153	#3205:12
#254:38	#170:13
#287:9	#172:6
#3662:104	#3193:2
#272:13	#202:2
#249:34	#183:11
#272:23	#184:10
#256:80	#194:4
#3661:91	#3191:2
#279:41	#198:13
#3658:71	#3193:2
#3660:204	#3194:6
#266:47	#208:14
