report	indicator
#2941:17	#3416:217
#2932:18	#3289:840
#2930:1	#3471:441
#2939:28	#3282:504
#2946:16	#3293:1996
#2943:16	#3269:432
#2956:26	#3264:2417
#2951:20	#3259:916
#2944:26	#3254:553
#2933:17	#3247:1097
#2938:24	#3293:764
#2939:2	#3277:1431
#2932:18	#3261:3250
#2949:23	#3269:749
#2939:10	#3261:1001
#2939:28	#3285:2
#2938:24	#3288:2302
#2954:7	#3316:17
#2934:27	#3226:6
#2950:5	#3387:274
#2935:10	#3292:1330
#2933:8	#3224:2263
#2950:10	#3345:995
#2936:21	#3398:95
#2951:28	#3267:12
#2934:19	#3296:2704
#2954:7	#3388:332
#2945:8	#3238:2608
#2931:23	#3405:551
#2959:1	#3285:1502
#2961:13	#3229:279
#2930:8	#3239:897
#2938:8	#3274:749
#2950:0	#3265:2258
#2956:14	#3298:1432
#2937:2	#3277:3084
#2957:12	#3483:455
#2948:6	#3389:408
#2931:2	#3298:919
#2950:5	#3413:360
#2937:26	#3377:218
#2934:3	#3248:1724
#2942:20	#3405:403
#2942:17	#3270:849
#2930:19	#3236:2535
#2958:22	#3413:219
#2935:11	#3259:2915
#2946:3	#3239:1717
#2936:20	#3298:3247
#2953:20	#3294:794
#2930:0	#3241:551
#2948:16	#3244:2396
#2934:0	#3219:2399
#2940:1	#3277:252
#2952:11	#3259:1437
#2944:1	#3265:1764
#2938:1	#3288:2742
#2931:2	#3293:2832
#2935:19	#3262:5
#2951:21	#3490:94
#2942:15	#3271:1460
#2951:21	#3497:517
#2935:9	#3368:797
#2956:3	#3263:876
#2953:12	#3295:30
#2945:17	#3267:2268
#2945:22	#3267:3169
#2958:6	#3269:2833
#2958:6	#3296:1918
#2951:24	#3233:1378
#2953:18	#3283:2083
#2943:17	#3232:140
#2932:29	#3275:2920
#2948:8	#3246:1719
#2937:24	#3262:2917
#2946:1	#3276:1431
#2932:25	#3281:90
#2934:9	#3343:1551
#2948:30	#3316:7
#2947:3	#3265:1081
#2930:26	#3295:3033
#2951:2	#3253:141
#2957:29	#3249:2397
#2931:23	#3390:79
#2951:20	#3288:1665
#2937:2	#3278:1089
#2938:19	#3249:2537
#2933:17	#3246:486
#2944:6	#3285:3165
#2945:17	#3295:113
#2942:17	#3295:1103
#2962:5	#3407:315
#2958:22	#3401:188
#2933:8	#3242:552
#2933:10	#3341:717
#2959:26	#3295:3215
#2946:1	#3265:1686
#2934:18	#3250:1036
#2947:1	#3231:9
#2950:29	#3267:2166
#2951:5	#3381:390
#2938:3	#3291:2382
#2954:28	#3491:406
#2949:1	#3401:257
#2942:17	#3261:2587
#2946:17	#3295:2088
#2957:11	#3380:72
#2942:20	#3406:461
#2950:20	#3228:1994
#2954:20	#3266:1928
